,_merged_text
449,le chardonnay (los angeles) 213-655-8880
450,millennium 415/487-9800
451,39 desbrosses st.  near west st.
452,hamburgers
453,fishin eddie 212/874-3474
454,1611 post st.
455,asian
456,4330 peachtree rd.
457,steakhouses
458,tortillas 404-892-0193
459,458 6th ave. at 11th st.
460,vietnamese
461,global 212/477-8427
462,1570 rosecrans ave. s.
463,duke's 310-652-3100
464,asian
465,ebisu 415-566-1770
466,pizza
467,10428 1/2 national blvd.
468,french
469,johnny rockets (la) 213-651-3361
470,steakhouses
471,15 e. 12th st.  between 5th ave. and university pl.
472,italian
473,motown cafe 212/581-8030
474,steakhouses
475,40  buckhead crossing mall on the sidney marcus blvd.
476,italian
477,22800 pch
478,russian/german
479,sign of the dove 212-861-8080
480,californian
481,michael's (los angeles) 310-451-0843
482,322 w. 46th st.
483,peacock alley 212/872-4895
484,432 sixth ave.
485,155 e. 55th st.
486,seafood
487,1401 ocean ave.
488,french (new)
489,american (new)
490,abruzzi 404-261-8186
491,371 w. 46th st.  off 9th ave.
492,rosa mexicano 212/753-7407
493,3 e. 52nd st.
494,2245 e. flamingo rd.
495,nobu 212-219-0500
496,asian
497,american
498,8020 beverly blvd.
499,schatzi on main 310/399-4800
500,italian
501,nikolai's roof 404-221-6362
502,19 old fulton st.
503,224 ponce de leon ave.
504,sylvia's 212-996-0660
505,international
506,health food
507,304 e. 48th st.
508,agrotikon 212/473-2602
509,eclectic
510,market and new montgomery sts.
511,american
512,106 bayard st.
513,804 north point st.
514,buccaneer bay club 702-894-7350
515,lowcountry barbecue 404/255-5160
516,italian
517,big cup 212/206-0059
518,hamburgers
519,3345 steiner st.
520,coffee shops/diners
521,le soleil 415/668-4848
522,219 w. broadway  between franklin and white sts.
523,247 buckhead ave.  east village sq.
524,south city kitchen 404/873-7358
525,1031 ponce de leon ave.
526,american
527,ritz-carlton cafe (atlanta) 404-659-0400
528,246 mcallister st.
529,asian
530,73 w. 71st st.
531,hamburgers
532,fujiyama mama 212/769-1144
533,french
534,774 ponce de leon ave. ne
535,campo santo 415-433-9623
536,french
537,33 93 2nd ave.  between 5th and 6th sts.
538,coffee bar
539,i trulli 212/481-7372
540,8909 sunset blvd.
541,american
542,american
543,1283 ninth ave.
544,mario's bohemian cigar store cafe 415-776-8226
545,american
546,l'auberge 212/288-8791
547,7507 melrose ave.
548,mediterranean
549,french (new)
550,local nochol 818-706-7706
551,104 w. 57th st.  near 6th ave.
552,1147 third st.
553,american
554,indian
555,pho hoa 213-626-5530
556,301 park ave.  between 49th and 50th sts.
557,rain 212/501-0776
558,american
559,american (new)
560,continental
561,hedgerose heights inn  the 404-233-7673
562,tommy's 213-389-9060
563,1063 1st ave. at 58th st.
564,sea grill 212/332-7610
565,105 hudson st.
566,2290 peachtree rd.
567,american
568,20 mott st.  between bowery and pell st.
569,vida 213/660-4446
570,californian
571,aqua 415-956-9662
572,teresa's 212/228-0604
573,328 lenox ave.
574,126 clement st.
575,windows on the world 212-524-7000
576,american
577,1022 3rd ave.  between 60th and 61st sts.
578,arturo's 212/677-3820
579,mexican
580,southern/soul
581,617 s. olive st.
582,plumpjack cafe 415-563-4755
583,3300 las vegas blvd. s.
584,hamburgers
585,monte carlo 702-733-4524
586,6301 roswell rd.  sandy springs plaza  sandy springs
587,pricci 404/237-2941
588,bbq
589,bryant park grill  roof restaurant and bp cafe 212/840-6500
590,111 e. 22nd st.  between park ave. s and lexington ave.
591,asian
592,133 clement st.
593,steak houses
594,pan-asian
595,barbecue kitchen 404-766-9906
596,1144 crescent ave.
597,bamboo garden 702/871-3262
598,181 peachtree st.
599,italian
600,467 columbus ave.  between 82nd and 83rd sts.
601,coffee bar
602,halcyon 212/468-8888
603,empress court 702/731-7888
604,240 columbus ave.
605,hamburger mary's 415-626-1985
606,american
607,122 e. 27th st.  between lexington and park aves.
608,seafood
609,granita 310-456-0488
610,jewel of india 212/869-5544
611,2209 polk st.
612,slanted door 415-861-8032
613,1191 1st ave.  between 64th and 65th sts.
614,italian
615,le colonial 212/ 752-0808
616,30869 thousand oaks blvd.
617,asian
618,mulberry st. 818-906-8881
619,pastis 415/391-2555
620,mangia e bevi 212/956-3976
621,642 broadway
622,american
623,french (classic)
624,ruth's chris steak house (los angeles) 310-859-8744
625,100 w. 82nd st.
626,sal anthony's 212/982-9030
627,suppenkuche 415/252-9289
628,californian
629,2575 beverly blvd.
630,hamburgers
631,ritz-carlton dining room (buckhead) 404-237-2700
632,19 w. 49th st.
633,stingray 212/501-7515
634,delis
635,american
636,2 park ave. at 32nd st.
637,129 n. la cienega blvd.
638,816 folsom st.
639,103 1st ave.  between 6th and 7th sts.
640,coffee bar
641,tse yang 212/688-5447
642,khan toke thai house 415-668-6654
643,107th fl.
644,middle eastern
645,fiore rotisserie & grille 702-252-7702
646,carmine's 212-362-2200
647,barbecue
648,420 e. 59th st.  off 1st ave.
649,bolo 212/228-2200
650,continental
651,1 w. 67th st.
652,abbey 404/876-8532
653,border grill 310/451-1655
654,346 s. la brea ave.
655,3145 las vegas blvd. s.
656,hot dogs
657,sterling brunch 702-739-4651
658,500 pharr rd.
659,sundown cafe 404/321-1118
660,californian
661,1437 virginia ave.
662,drago 310/828-1585
663,japanese
664,carey's corner 770-933-0909
665,4850 flamingo rd.
666,cafe roma 702/731-7547
667,italian
668,mexican/latin american/spanish
669,151 w. 54th st.  in the rihga royal hotel
670,cafe bizou 818-788-3536
671,johnny rockets (at) 770-955-6068
672,3570 las vegas blvd. s
673,mikado 702/791-7111
674,1582 folsom st.
675,mo's burgers 415-788-3779
676,asian
677,15 w. 44th st.
678,coffee bar
679,la reserve 212/247-2993
680,bizou 415/543-2222
681,584 valencia st.
682,caffe dante 212/982-5275
683,italian
684,one market 415/777-5577
685,149 e. 57th st.
686,asian
687,lincoln tavern 212/721-8271
688,17040 ventura blvd.
689,mexican
690,china grill 212/333-7788
691,1015 battery st.
692,french (classic)
693,splendido embarcadero 415/986-3222
694,800 9th ave. at 53rd st.
695,american
696,224 s. beverly dr.
697,coffee shops
698,55 irving pl.
699,601 hayes st.
700,world wrapps 415/563-9727
701,scandinavian
702,coffee shops
703,428 amsterdam ave.  between 80th and 81st sts.
704,french
705,the savannah club 212/496-1066
706,777 sutter st.
707,caribbean
708,21 club 212-582-7200
709,bernard's 213-612-1580
710,international
711,french (new)
712,67 n. raymond ave.
713,rose pistola 415-399-0499
714,34 e. 51st st.
715,american
716,water club 212/683-3333
717,9570 wilshire blvd.
718,3700 w. flamingo rd.
719,gramercy tavern 212-477-0777
720,american
721,12 e. 12th st.
722,3645 las vegas blvd. s.
723,163 ponce de leon ave.
724,american
725,168 w. colorado blvd.
726,cafe renaissance 770/441--0291
727,cha cha cha 213/664-7723
728,cuban
729,bradshaw's restaurant 404-261-7015
730,2165 cheshire bridge rd.
731,montrachet 212-219-2777
732,mediterranean
733,57 jane st.
734,corner bistro 212-242-9502
735,1215 powers ferry rd.
736,301 n. beverly dr.
737,hard rock cafe 310/276-7605
738,steakhouses
739,harold's barbecue 404-627-9268
740,3570 las vegas blvd. s
741,golden steer 702/384-4470
742,american
743,kelley & ping 212-228-1212
744,american
745,2970 cobb pkwy.
746,thai
747,3400 las vegas blvd. s
748,acquarello 415/567-5432
749,1322 grant st.
750,american
751,cafe la fortuna 212/724-5846
752,italian
753,4 w. 49th st.
754,american
755,598 fourth st.
756,italian
757,cypress club 415/296-8555
758,81 macdougal st.  between houston and bleeker sts.
759,cafeterias
760,captain's table 212/697-9538
761,1 market st.
762,seafood
763,51 w. 64th st.
764,american
765,60 w. 53rd st.
766,2709 main st.
767,cafeterias
768,diva 212/941-9024
769,4
770,thepin 415/863-9335
771,italian
772,italian
773,thai
774,2257 chestnut st.
775,indian
776,apple pan  the 310-475-3585
777,asian
778,southern/soul
779,2420 broadway at 89th st.
780,american
781,515 s. olive st.
782,daniel 212-288-0033
783,seafood
784,cassell's 213-480-8668
785,american (traditional)
786,american
787,2 harrison st.
788,500 e. 30th st.
789,latin american
790,anthonys 404/262-7379
791,207 s. beverly dr.
792,delis
793,lutece 212-752-2225
794,milan cafe and coffee bar 212/807-1801
795,diners
796,2 e. 55th st.
797,zankou chicken 818-244-1937
798,2911 s. pharr court
799,7050 jimmy carter blvd.  norcross
800,continental
801,fat matt's rib shack 404/607-1622
802,eclipse 310/724-5959
803,1121 s. western ave.
804,middle eastern
805,san domenico 212-265-5959
806,american
807,331 w. fourth st.
808,1 water st.
809,gray's papaya 212-799-0243
810,asian
811,679 n. spring st.
812,le dome 310/659-6919
813,171 mcdonough blvd.
814,japanese
815,308 w. sahara ave.
816,asian
817,127 greene st.
818,3000 paradise rd.
819,menchanko-tei 212-247-1585
820,rj's the rib joint 310/274-7427
821,french (classic)
822,californian
823,1722 sacramento st.
824,asian
825,cafe marimba 415/776-1506
826,69 w. 71st st.
827,american
828,french
829,italian
830,500 jackson st.
831,asian
832,860 2nd ave. at 46th st.
833,harbor village 415/781-8833
834,435 s. la cienega blvd.
835,vegetarian
836,columbus bakery 212/421-0334
837,italian
838,continental
839,kuleto's 415/397-7720
840,341 w. broadway  near grand st.
841,continental
842,evergreen cafe 212/744-3266
843,298 gough st.
844,american
845,nuevo laredo cantina 404-352-9009
846,patina 213-467-1108
847,mexican
848,fraunces tavern 212/269-0144
849,10801 w. pico blvd.
850,french (classic)
851,brighton coffee shop 310-276-7732
852,french
853,californian
854,delis
855,american
856,3266 w. sixth st.
857,mediterranean
858,hollywood hills coffee shop 213-467-7678
859,marichu 212/370-1866
860,californian
861,3109 piedmont rd.  just south of peachtree rd.
862,american
863,city grill 404/524-2489
864,american
865,la cachette 310-470-4992
866,petrossian 212-245-2214
867,bbq
868,120 w. 23rd st.
869,odeon 212/233-0507
870,1415 e. colorado st.
871,noodle shops
872,100 e. 63rd st.
873,1811 piedmont ave.  near cheshire bridge rd.
874,american
875,201 moreno dr.
876,jack sprat's grill 310/837-6662
877,french (new)
878,union square cafe 212-243-4020
879,planet hollywood 212/333-7827
880,2090 broadway
881,la caridad 212-874-2780
882,747 ninth ave.
883,american
884,chinese
885,pacific dining car 213/483-6000
886,1448 n. gower st.
887,french (new)
888,buckhead diner 404-262-3336
889,asian
890,39 w. 55th st.
891,3393 peachtree rd.
892,palm too 212-697-5198
893,american
894,the mandarin 310/859-0926
895,3835 cross creek rd.
896,continental
897,2317 chestnut st.
898,american
899,fog city diner 415/982-2000
900,thai house cafe 212-334-1085
901,ambassador grill 212/702-5014
902,cajun/creole
903,4 embarcadero center
904,buffets
905,il fornaio levi's plaza 415/986-0100
906,53rd sts.
907,duane park cafe 212/732-5555
908,mi spia dunwoody rd. 770/393-1333
909,lettuce souprise you (at) 770-418-9969
910,221 powell st.
911,buffets
912,l'orangerie 310-652-9770
913,mccormick & kuleto's 415/929-1730
914,1288 1st ave. at 69th st.
915,chinese
916,first 212/674-3823
917,french
918,1495 chattahoochee ave. nw
919,thelma's kitchen 404-688-5855
920,54 pearl st. at broad st.
921,thai
922,girafe 212/752-3054
923,9600 brighton way
924,don antonio's 310-209-1422
925,french
926,dusit thai 415-826-4639
927,indochine 212/505-5111
928,6145 franklin ave.
929,italian
930,johnny reb's southern smokehouse 310-423-7327
931,american (new)
932,342 e. 46th st.  between 1st and 2nd aves.
933,american
934,morton's 212/972-3315
935,hamburgers
936,50 hurt plaza
937,10506 little santa monica blvd.
938,maxwell's cafe 310-306-7829
939,asian
940,shun lee palace 212-371-8844
941,italian
942,145 w. broadway at thomas st.
943,patria 212/777-6211
944,delicatessen
945,601 s. figueroa st.
946,continental
947,rae's 310-828-7937
948,tillerman  the 702-731-4036
949,140 w. 57th st.
950,roettelle a. g 212/674-4140
951,2199 broadway
952,2880 las vegas blvd. s.
953,moustache 718-852-5555
954,coffee bar
955,3rd st.
956,roscoe's house of chicken 'n' waffles 213/466-9329
957,italian
958,mary mac's tea room 404-876-1800
959,shaan 212/ 977-8400
960,840 second ave.
961,sushisay 212-755-1780
962,2637 peachtree rd. ne
963,american
964,asian
965,937 broadway at 22nd st.
966,adrienne 212/903-3918
967,italian
968,1300 battery st.
969,chez michel 415-775-7036
970,151 hudson st.
971,340 stockton st.
972,andre's french restaurant 702-385-5016
973,948 1st ave.  between 52nd and 53rd sts.
974,little szechuan 770/451-0192
975,ben benson's 212/581-8888
976,italian
977,hamburgers
978,1265 battery st.
979,american
980,le central 415/391-2233
981,157 duane st.  between w. broadway and hudson st.
982,piero's restaurant 702-369-2305
983,park place  across from perimeter mall  dunwoody
984,sato sushi and thai 770/449-0033
985,3525 mall blvd.
986,coffee shops
987,rainbow restaurant 404-633-3538
988,ghirardelli sq.
989,coffee shops/diners
990,87 1st ave.  between 5th and 6th sts.
991,frico bar 212/564-7272
992,bistro 702/791-7111
993,french
994,764 marietta st. nw
995,caffe greco 415-397-6261
996,american
997,mexican
998,208 e. 58th st.  between 2nd and 3rd aves.
999,mediterranean
1000,hudson river club 212/786-1500
1001,1136 westwood blvd.
1002,french
1003,3221 mission st.
1004,la taqueria 415-285-7117
1005,430 lafayette st.  between 4th st. and astor pl.
1006,asian
1007,l'absinthe 212/794-4950
1008,4663 long beach blvd.
1009,french
1010,langer's 213-483-8050
1011,551 5th ave. at 45th st.
1012,trio cafe 415-563-2248
1013,13329 washington blvd.
1014,italian
1015,continental
1016,parkway grill 818-795-1001
1017,250 park ave. s at 20th st.
1018,post house 212/935-2888
1019,rumpus 415/421-2300
1020,coffee bar
1021,american (new)
1022,2901 pico blvd.
1023,fast food
1024,georgia grille 404-352-3517
1025,taiko 310-207-7782
1026,126 e. 7th st.  between 1st ave. and ave. a
1027,sarabeth's kitchen 212/496-6280
1028,405 atlantic ave.
1029,1 margaret mitchell sq.
1030,american
1031,60 n. venice blvd.
1032,californian
1033,alain rondelli 415-387-0408
1034,57 w. 48th st.
1035,tapika 212/ 397-3737
1036,38 e. 51st st.
1037,41 14th st.
1038,westside cottage 212-245-0800
1039,mediterranean
1040,200-250 vesey st. world financial center
1041,american
1042,arizona 212/838-0440
1043,southern/soul
1044,12969 ventura blvd.
1045,545 post st.
1046,mifune 415-922-0337
1047,401 s. 6th st.
1048,cuban
1049,michael's (las vegas) 702-737-7111
1050,c buford hwy.  northwoods plaza  doraville
1051,pleasant peasant 404/874-3223
1052,asian
1053,southern/soul
1054,bruno 212/688-4190
1055,103 waverly pl.  near washington sq.
1056,italian
1057,453 bush st.
1058,buffets
1059,355 convention center dr.
1060,pizza
1061,baker's cajun cafe 404-223-5039
1062,6050 peachtree pkwy.  norcross
1063,bally's big kitchen 702/739-4111
1064,2118 n. decatur rd.
1065,italian
1066,american
1067,402 w. 43rd st.  off 9th ave.
1068,french
1069,3400 las vegas blvd. s
1070,circus circus 702/734-0410
1071,423 columbus ave.
1072,eric's chinese restaurant 415-282-0919
1073,mexican/latin american/spanish
1074,4 world financial center
1075,french
1076,fenix at the argyle 213-848-6677
1077,jean lafitte 212/751-2323
1078,2889 mission st.
1079,san francisco bbq 415-431-8956
1080,greek and middle eastern
1081,227 e. 67th st.
1082,coffee bar
1083,le chantilly 212/751-2931
1084,704 s. alvarado st.
1085,french
1086,1870 fillmore st.
1087,pane e vino 415/346-2111
1088,american
1089,main street 212/873-5025
1090,510 s. arroyo pkwy.
1091,american (new)
1092,russell's burgers 310-596-9556
1093,28 e. 63rd st.
1094,1 tillman pl.
1095,straits cafe 415/668-1783
1096,steakhouses
1097,11677 san vicente blvd.
1098,pacific new wave
1099,423 amsterdam ave.  between 80th and 81st sts.
1100,stage deli 212/245-7850
1101,italian
1102,asian
1103,hot dogs
1104,8638 w. third st.
1105,2316 polk st.
1106,950 8th ave. at 56th st.
1107,asian
1108,trois jean 212/988-4858
1109,hawthorne lane 415-777-9779
1110,689 ninth ave.
1111,seafood
1112,cafe des artistes 212-877-3500
1113,continental
1114,1393a 2nd ave.  between 72nd and 73rd sts.
1115,boca chica 212/473-0108
1116,californian
1117,201 w. 83rd st.
1118,zoe 212/966-6722
1119,asian
1120,bistro garden 310/550-3900
1121,3rd st. promenade
1122,3595 las vegas blvd. s.
1123,american
1124,stefano's 702-385-7111
1125,555 peachtree st.  at linden ave.
1126,american
1127,33 w. 55th st.
1128,1134 euclid ave.
1129,dive! 310/788-
1130,asian
1131,carey's 770-422-8042
1132,3645 las vegas blvd. s
1133,cafe michelle 702/735-8686
1134,asian
1135,italian
1136,bel-air hotel 310-472-1211
1137,chinese
1138,java jive 404-876-6161
1139,2880 las vegas blvd. s
1140,mary's diner 702/454-8073
1141,1500 church st.
1142,vegetarian
1143,68 w. 58th st.
1144,italian
1145,l'udo 212/388-0978
1146,bix 415/433-6300
1147,1328 18th st.
1148,cafe fes 212/924-7653
1149,wa-ha-ka oaxaca mexican grill 415-775-1055
1150,
1151,106 e. 57th st.
1152,american
1153,les halles 212/679-4111
1154,southwestern
1155,chiam 212/371-2323
1156,3011 steiner st.
1157,japanese
1158,south park cafe 415/495-7275
1159,446 columbus ave.  between 81st and 82nd sts.
1160,italian
1161,1198 pch
1162,delis
1163,9560 dayton way
1164,diners
1165,3300 geary blvd.
1166,vivande ristorante 415/673-9245
1167,american (new)
1168,cajun/creole
1169,834 7th ave.  between 53rd and 54th sts.
1170,asian
1171,the coffee pot 212/265-3566
1172,benita's frites 310-458-2889
